10,0.1761536598205566
20,2.9461669921875
30,9.830755949020386
40,15.94297695159912
50,30.862523555755615
60,35.32415795326233
70,50.78628706932068
80,70.21908497810364
90,170.76686573028564
100,200.59511947631836
110,230.4542510509491
120,260.63927602767944
130,300.2839255332947
140,300.3145294189453
150,340.3981788158417
160,350.23401069641113
170,450.70902729034424
180,640.8092069625854
190,900.3836052417755
200,1000.8344490528107
210,1040.2179465293884
220,1100.6880617141724
230,1230.178281545639
240,1340.0509712696075
250,1500.8480961322784
260,1900.5872416496277
270,2000.0067553520203
280,2010.327059984207
290,2500.6036632061005
300,3069.608549833298
